Program,Hubspot ID,Time Zone,Program Name,Current Cohort,Deposit Paid Date,Status,payment_status,Current Payment Status,Payment Mode,Call Status,Upfront/Non-Upfront payment,Original SSA
New ML,184800378150,America/New_York,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd Mid-April 2026,14-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Disha
EdgeUp,194661739044,America/Los_Angeles,EdgeUp 2026 Engineering Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for EM's - 2nd Mid-May 2026,14-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Nishtha
Step Up,206808953128,America/Chicago,Data Analyst & Business Analyst Interview Prep Fast Track Program,FT: Late Start,14-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,VM - 4 Attempts,Upfront Payment,Samarth
Fast Track ML,211582313358,America/Chicago,Fast Track Machine Learning Program,Fast Track Machine Learning Program,14-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Ajil
EdgeUp Step Up,214008102808,America/New_York,EdgeUp 2026 Technical Program Manager StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-April 2026,14-Apr-2026,ENROLLED_WITH_NO_DUES,Refunded,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Safoora
EdgeUp Step Up,214501278126,America/New_York,EdgeUp 2026 Engineering Management StepUp Program (with Agentic AI Interview Prep),"Applied Agentic AI for EM's - 2nd Mid-May 2026",14-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Zeeshan
EdgeUp Step Up,214626214297,America/New_York,EdgeUp 2026 Engineering Management StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for EM's - 2nd Mid-April 2026,15-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Archi
Step Up,215062362229,America/New_York,Product Management Interview Prep Fast Track Program,Self-Paced Product Management FastTrack,15-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Disha
New ML,215123021998,America/New_York,Machine Learning Program (with Agentic AI),Machine Learning Program - 2nd End-May 2026,14-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Samarth
Level Up,215255779678,America/Detroit,Data Engineering Interview Prep Program,Data Engineering Interview Prep - End-April 2026,15-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Ajil
EdgeUp,215287721571,America/Chicago,EdgeUp 2026 Product Manager (Tech) LevelUp Program (with Agentic AI Interview Prep),"Applied Agentic AI - Early-May 2026
",15-Apr-2026,DEPOSIT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Safoora
Step Up,215411166378,America/Chicago,Technical Program Manager Interview Prep Fast Track Program,Self-Paced TPM FastTrack,14-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Disha
